,model,-1,-0.75,-0.5,-0.25,0,0.25,0.5,0.75,1
0,SGC,69.68 + 0.29,78.52 + 0.34,71.05 + 0.21,59.34 + 0.25,63.95 + 0.27,81.46 + 0.24,93.82 + 0.18,97.42 + 0.14,94.26 + 0.08
1,MLP,50.23 + 0.28,67.87 + 0.28,75.83 + 0.32,79.71 + 0.23,82.35 + 0.2,80.63 + 0.25,76.64 + 0.2,68.03 + 0.28,49.5 + 0.16
2,JKNet,86.75 + 0.76,89.97 + 1.14,84.91 + 0.6,51.81 + 0.52,59.6 + 0.4,77.61 + 0.3,92.56 + 0.12,97.97 + 0.06,98.26 + 0.07
3,APPNP,48.8 + 0.12,49.36 + 0.12,49.31 + 0.2,60.63 + 0.32,75.12 + 0.27,85.78 + 0.16,94.25 + 0.1,97.97 + 0.09,96.93 + 0.09
4,GPRGNN,98.29 + 0.06,97.44 + 0.09,92.94 + 0.16,81.17 + 0.21,73.94 + 0.17,80.85 + 0.14,92.07 + 0.17,97.69 + 0.1,98.58 + 0.06
5,GCN,78.75 + 0.27,83.88 + 0.26,76.86 + 0.34,59.41 + 0.27,62.78 + 0.29,80.73 + 0.22,93.7 + 0.13,97.48 + 0.09,96.63 + 0.13
6,GAT,87.29 + 0.25,87.62 + 0.33,76.93 + 0.25,58.65 + 0.36,62.4 + 0.21,79.83 + 0.26,92.83 + 0.18,97.78 + 0.05,98.31 + 0.08
7,ChebNet,90.05 + 0.2,95.19 + 0.15,91.97 + 0.17,84.24 + 0.26,80.01 + 0.27,84.88 + 0.17,92.01 + 0.14,94.72 + 0.15,88.25 + 0.26
